timestamp,mode,direction,total,bits,raw_samples
2026-03-07T14:51:56.153731,MANUAL,NONE,-212,1000000,3995456
2026-03-07T14:58:00.130682,MANUAL,NONE,624,1000000,4002658
2026-03-07T15:06:24.330291,RANDOM,UP,1014,1000000,3994128
2026-03-07T15:11:04.706835,RANDOM,DOWN,234,1000000,4035498
2026-03-07T15:15:40.715671,RANDOM,DOWN,-8,1000000,3983390
2026-03-07T15:20:21.684696,RANDOM,DOWN,692,1000000,4008556
2026-03-07T15:24:53.086675,RANDOM,UP,1802,1000000,3972332
2026-03-07T15:29:38.534892,RANDOM,UP,1278,1000000,4010322
2026-03-07T15:34:19.997689,MANUAL,NONE,448,1000000,4037182
2026-03-07T15:46:44.746791,RANDOM,DOWN,622,1000000,3989700
2026-03-07T15:54:27.882556,RANDOM,DOWN,412,1000000,3993610
2026-03-07T16:36:04.270153,RANDOM,UP,1616,1000000,3995008
2026-03-07T16:40:37.830172,RANDOM,DOWN,-656,1000000,4025294
2026-03-07T16:48:11.146380,MANUAL,NONE,-186,1000000,3993430
2026-03-07T16:55:02.608138,MANUAL,NONE,-1182,1000000,4008472
2026-03-07T17:02:20.869382,MANUAL,NONE,-1794,1000000,4018796
2026-03-07T17:08:50.271103,RANDOM,UP,3982,1000000,3973842
2026-03-07T17:13:29.241568,RANDOM,DOWN,-98,1000000,4005568
2026-03-07T17:25:41.821695,RANDOM,UP,3666,1000000,4015644
2026-03-07T17:33:33.401673,RANDOM,UP,4140,1000000,4006938
2026-03-07T17:38:14.254589,MANUAL,NONE,-2330,1000000,3994162
2026-03-07T17:44:41.469575,MANUAL,NONE,-2602,1000000,3986418
2026-03-07T17:55:17.034112,RANDOM,DOWN,-1126,1000000,3997996
2026-03-07T18:00:18.927152,RANDOM,UP,3906,1000000,4003950
2026-03-07T18:05:32.521196,RANDOM,DOWN,-3858,1000000,4035590
2026-03-07T18:13:43.900731,MANUAL,NONE,-1374,1000000,4005274
2026-03-07T18:38:51.897142,RANDOM,UP,3006,1000000,3991710
2026-03-07T19:50:14.316092,RANDOM,UP,1950,1000000,4011424
2026-03-07T19:57:49.508913,RANDOM,DOWN,-2632,1000000,3997452
2026-03-07T20:03:32.664848,RANDOM,DOWN,-2336,1000000,3987228
2026-03-07T20:08:02.123190,RANDOM,DOWN,-3118,1000000,3974328
2026-03-07T20:12:59.544392,RANDOM,DOWN,-2366,1000000,4016870
2026-03-07T20:17:34.354330,RANDOM,UP,2466,1000000,4020748
2026-03-07T20:22:39.751023,RANDOM,UP,1634,1000000,4030688
2026-03-07T20:27:52.548696,RANDOM,DOWN,-2814,1000000,3989782
2026-03-07T20:32:26.871290,MANUAL,NONE,-1922,1000000,4016180
2026-03-07T20:37:00.542925,MANUAL,NONE,-3080,1000000,3971706
2026-03-07T20:41:33.251857,MANUAL,NONE,-3780,1000000,4007550
2026-03-07T20:46:43.110393,RANDOM,DOWN,-2954,1000000,4029802
2026-03-07T20:51:17.597769,RANDOM,DOWN,-4274,1000000,3971890
2026-03-07T20:55:51.774814,RANDOM,DOWN,-4898,1000000,3986750
2026-03-07T21:00:32.539070,RANDOM,UP,420,1000000,4034782
2026-03-07T21:05:04.302482,MANUAL,NONE,-4476,1000000,4000670
2026-03-07T21:24:44.272875,MANUAL,NONE,-4838,1000000,3973092
2026-03-07T21:33:17.940902,RANDOM,UP,-508,1000000,4010206
2026-03-07T21:37:53.761066,RANDOM,DOWN,-6586,1000000,3992044
2026-03-07T21:42:23.420930,RANDOM,DOWN,-5444,1000000,3972486
2026-03-07T21:46:54.867111,RANDOM,DOWN,-3950,1000000,3989700
2026-03-07T21:51:27.180594,RANDOM,DOWN,-3564,1000000,4003874
2026-03-07T21:56:01.771307,RANDOM,DOWN,-2610,1000000,4012226
2026-03-07T22:01:16.836983,RANDOM,DOWN,-4248,1000000,4002472
2026-03-07T22:06:17.157198,RANDOM,UP,-216,1000000,4028288
2026-03-07T22:10:58.856447,RANDOM,DOWN,-4584,1000000,4013204
2026-03-07T22:15:35.722073,RANDOM,UP,192,1000000,4004794
2026-03-07T22:20:07.501333,RANDOM,UP,212,1000000,4007642
2026-03-07T22:25:47.757447,MANUAL,NONE,-5256,1000000,3983160
2026-03-07T22:30:24.864237,MANUAL,NONE,-3696,1000000,3992550
2026-03-07T22:34:59.940457,RANDOM,UP,712,1000000,3982484
2026-03-07T22:43:10.355173,RANDOM,DOWN,-4470,1000000,4004008
2026-03-07T22:48:33.266616,RANDOM,UP,1646,1000000,3998116
2026-03-07T22:55:17.756122,RANDOM,UP,4020,1000000,3995816
